Date,NEPSE,Banking,Hydropower,Hotels And Tourism,Finance,Investment,LifeInsurance,Manufacture,NonLifeInsurance,Others,Mutual Fund,Microfinance,DevBank,Trading
2023-02-12,2121.75,1377.99,2628.01,3230.27,1761.24,66.84,10659.3,5179.0,9205.57,1513.19,14.5,4618.11,3751.51,2277.17
2023-02-14,2105.46,1367.51,2603.75,3203.32,1750.17,66.16,10573.92,5195.17,9155.78,1503.26,14.42,4571.18,3714.67,2266.01
2023-02-15,2091.56,1360.66,2579.25,3162.5,1733.95,65.67,10457.53,5243.7,9083.67,1488.23,14.32,4540.71,3694.61,2256.19
2023-02-16,2070.41,1352.01,2541.66,3123.1,1708.44,64.85,10313.44,5142.5,8959.65,1487.79,14.29,4484.35,3648.55,2222.28
2023-02-20,2046.81,1341.9,2517.61,3095.13,1693.58,64.33,10226.78,4977.78,8896.4,1465.64,14.41,4379.29,3609.69,2231.27
2023-02-22,2080.38,1358.73,2614.53,3190.12,1742.48,65.96,10423.14,5049.67,9077.25,1493.95,14.38,4319.04,3690.22,2231.19
2023-02-23,2022.64,1334.51,2556.46,3091.8,1699.7,64.84,10204.44,4947.37,8878.33,1463.55,14.12,3907.02,3637.13,2185.98
2023-02-26,2027.19,1322.94,2575.34,3164.01,1723.61,65.23,10190.48,4932.52,8905.92,1466.59,14.11,4015.46,3667.33,2155.48
2023-02-27,2023.54,1321.68,2567.93,3207.83,1694.84,64.89,10181.51,4909.15,8913.18,1478.39,14.18,3976.09,3655.38,2168.13
2023-02-28,2019.93,1317.15,2591.86,3176.83,1690.26,65.56,10159.23,4885.09,8868.88,1467.99,14.23,3944.97,3637.68,2168.32
2023-03-01,1995.49,1309.52,2556.91,3120.82,1679.69,64.98,10002.42,4773.89,8771.26,1448.88,14.12,3840.3,3586.23,2151.06
2023-03-02,1967.4503,1297.16,2516.76,3100.09,1653.47,64.05,9876.35,4703.27,8687.83,1428.04,14.01,3739.04,3556.02,2101.19
2023-03-05,1938.25,1285.08,2463.71,3031.99,1623.78,62.97,9703.01,4560.82,8623.88,1400.29,13.93,3650.14,3506.62,2093.37
2023-03-07,1952.66,1291.83,2504.86,3063.74,1642.95,63.67,9747.28,4512.25,8707.62,1410.21,13.89,3668.49,3547.44,2109.12
2023-03-09,2002.7,1315.37,2594.9,3132.03,1699.79,65.75,10061.12,4581.22,8960.38,1441.43,14.21,3778.22,3652.86,2167.93
2023-03-12,1975.89,1293.32,2556.83,3100.7,1672.78,64.7,9921.79,4563.17,8842.43,1432.61,14.16,3748.3,3606.73,2143.06
2023-03-13,1951.21,1272.96,2540.48,3075.6,1658.89,64.08,9756.78,4519.05,8759.69,1418.87,14.01,3687.46,3569.5,2112.45
2023-03-14,1953.06,1269.02,2559.45,3095.55,1675.07,64.52,9763.66,4495.68,8807.3,1425.08,13.98,3673.01,3582.38,2062.08
2023-03-15,1938.62,1259.08,2549.76,3088.67,1660.91,64.09,9683.9,4463.25,8790.24,1419.88,13.96,3604.66,3555.02,2072.66
