,Symbol,Date,Close
293,OTHERS,2021-05-13,2147.99
294,OTHERS,2021-05-16,2193.92
295,OTHERS,2021-05-17,2250.96
296,OTHERS,2021-05-18,2267.47
297,OTHERS,2021-05-19,2239.85
298,OTHERS,2021-05-20,2246.16
299,OTHERS,2021-05-23,2259.37
300,OTHERS,2021-05-24,2250.06
301,OTHERS,2021-05-25,2220.94
302,OTHERS,2021-05-27,2196.93
303,OTHERS,2021-05-30,2142.29
304,OTHERS,2021-05-31,2089.76
305,OTHERS,2021-06-01,2114.08
306,OTHERS,2021-06-02,2224.84
307,OTHERS,2021-06-03,2208.93
308,OTHERS,2021-06-06,2275.88
309,OTHERS,2021-06-07,2280.98
310,OTHERS,2021-06-08,2326.31
311,OTHERS,2021-06-09,2294.79
312,OTHERS,2021-06-10,2288.79
313,OTHERS,2021-06-13,2278.58
314,OTHERS,2021-06-14,2266.28
315,OTHERS,2021-06-15,2356.64
316,OTHERS,2021-06-16,2286.38
317,OTHERS,2021-06-17,2313.1
318,OTHERS,2021-06-20,2268.37
319,OTHERS,2021-06-21,2217.94
320,OTHERS,2021-06-22,2252.76
321,OTHERS,2021-06-23,2214.64
322,OTHERS,2021-06-24,2184.62
323,OTHERS,2021-06-27,2192.43
324,OTHERS,2021-06-28,2188.53
325,OTHERS,2021-06-29,2137.19
326,OTHERS,2021-06-30,2138.39
327,OTHERS,2021-07-01,2175.32
328,OTHERS,2021-07-04,2190.33
329,OTHERS,2021-07-05,2203.54
330,OTHERS,2021-07-06,2193.33
331,OTHERS,2021-07-07,2175.02
332,OTHERS,2021-07-08,2163.01
333,OTHERS,2021-07-11,2172.02
334,OTHERS,2021-07-12,2140.49
335,OTHERS,2021-07-13,2148.6
336,OTHERS,2021-07-14,2138.39
337,OTHERS,2021-07-15,2140.49
338,OTHERS,2021-07-18,2160.31
339,OTHERS,2021-07-19,2174.72
340,OTHERS,2021-07-20,2148.3
341,OTHERS,2021-07-22,2136.89
342,OTHERS,2021-07-25,2143.5
343,OTHERS,2021-07-26,2132.99
344,OTHERS,2021-07-27,2193.93
345,OTHERS,2021-07-28,2214.04
346,OTHERS,2021-07-29,2201.43
347,OTHERS,2021-08-01,2169.91
348,OTHERS,2021-08-02,2152.5
349,OTHERS,2021-08-03,2177.72
350,OTHERS,2021-08-04,2158.21
351,OTHERS,2021-08-05,2141.52
352,OTHERS,2021-08-08,2120.38
353,OTHERS,2021-08-09,2132.09
354,OTHERS,2021-08-10,2140.92
355,OTHERS,2021-08-11,2126.69
356,OTHERS,2021-08-12,2116.99
357,OTHERS,2021-08-15,2076.85
358,OTHERS,2021-08-16,2069.65
359,OTHERS,2021-08-17,2041.13
360,OTHERS,2021-08-18,2039.93
361,OTHERS,2021-08-19,2080.46
362,OTHERS,2021-08-24,2050.44
363,OTHERS,2021-08-25,2017.71
364,OTHERS,2021-08-26,2011.71
365,OTHERS,2021-08-29,1975.69
366,OTHERS,2021-08-31,1914.09
367,OTHERS,2021-09-01,1912.65
368,OTHERS,2021-09-02,1875.12
369,OTHERS,2021-09-05,1791.97
370,OTHERS,2021-09-06,1942.22
371,OTHERS,2021-09-07,1961.88
372,OTHERS,2021-09-08,1898.54
373,OTHERS,2021-09-09,1871.22
374,OTHERS,2021-09-12,1889.89
375,OTHERS,2021-09-13,1879.93
376,OTHERS,2021-09-14,1872.42
377,OTHERS,2021-09-15,1855.61
378,OTHERS,2021-09-16,1824.45
379,OTHERS,2021-09-20,1752.34
380,OTHERS,2021-09-21,1766.15
381,OTHERS,2021-09-22,1807.88
382,OTHERS,2021-09-23,1779.06
383,OTHERS,2021-09-26,1733.73
384,OTHERS,2021-09-27,1687.71
385,OTHERS,2021-09-28,1656.88
386,OTHERS,2021-09-29,1698.31
387,OTHERS,2021-09-30,1703.41
388,OTHERS,2021-10-03,1669.49
389,OTHERS,2021-10-04,1691.1
390,OTHERS,2021-10-05,1701.91
391,OTHERS,2021-10-06,1734.27
392,OTHERS,2021-10-10,1697.71
393,OTHERS,2021-10-11,1660.18
394,OTHERS,2021-10-17,1694.4
395,OTHERS,2021-10-18,1660.78
396,OTHERS,2021-10-19,1627.46
397,OTHERS,2021-10-20,1690.8
398,OTHERS,2021-10-21,1712.72
399,OTHERS,2021-10-24,1771.85
400,OTHERS,2021-10-25,1821.15
401,OTHERS,2021-10-26,1866.12
402,OTHERS,2021-10-27,1888.93
403,OTHERS,2021-10-28,1934.86
404,OTHERS,2021-10-31,1937.56
405,OTHERS,2021-11-01,1911.15
406,OTHERS,2021-11-02,1983.19
407,OTHERS,2021-11-03,1985.29
408,OTHERS,2021-11-08,1962.18
409,OTHERS,2021-11-09,1882.03
410,OTHERS,2021-11-11,1825.89
411,OTHERS,2021-11-14,1861.31
412,OTHERS,2021-11-15,1879.62
413,OTHERS,2021-11-16,1991.39
414,OTHERS,2021-11-17,2096.67
415,OTHERS,2021-11-18,2123.08
416,OTHERS,2021-11-21,2084.21
417,OTHERS,2021-11-22,2111.86
418,OTHERS,2021-11-23,2131.79
419,OTHERS,2021-11-24,2137.19
420,OTHERS,2021-11-25,2156.71
421,OTHERS,2021-11-28,2088.56
422,OTHERS,2021-11-29,2047.43
423,OTHERS,2021-11-30,2061.54
424,OTHERS,2021-12-01,2086.52
425,OTHERS,2021-12-02,2027.56
426,OTHERS,2021-12-05,1957.68
427,OTHERS,2021-12-06,1989.2
428,OTHERS,2021-12-07,1932.76
429,OTHERS,2021-12-08,1910.58
430,OTHERS,2021-12-09,1914.74
431,OTHERS,2021-12-12,1845.4
432,OTHERS,2021-12-13,1776.05
433,OTHERS,2021-12-14,1904.48
434,OTHERS,2021-12-15,1893.43
435,OTHERS,2021-12-16,1853.8
436,OTHERS,2021-12-20,1815.08
437,OTHERS,2021-12-21,1885.56
438,OTHERS,2021-12-22,1950.47
439,OTHERS,2021-12-23,1967.88
440,OTHERS,2021-12-26,2018.31
441,OTHERS,2021-12-27,1925.01
442,OTHERS,2021-12-28,1928.25
443,OTHERS,2021-12-29,1947.33
444,OTHERS,2022-01-02,1992.15
445,OTHERS,2022-01-03,1995.44
446,OTHERS,2022-01-04,1988.74
447,OTHERS,2022-01-05,1985.54
448,OTHERS,2022-01-06,2005.95
449,OTHERS,2022-01-09,2068.73
450,OTHERS,2022-01-10,2185.29
451,OTHERS,2022-01-11,2216.73
452,OTHERS,2022-01-12,2140.42
453,OTHERS,2022-01-13,2146.02
454,OTHERS,2022-01-16,2212.92
455,OTHERS,2022-01-17,2236.78
456,OTHERS,2022-01-18,2266.36
457,OTHERS,2022-01-19,2205.95
458,OTHERS,2022-01-20,2217.35
459,OTHERS,2022-01-23,2260.09
460,OTHERS,2022-01-24,2178.68
461,OTHERS,2022-01-25,2168.78
462,OTHERS,2022-01-26,2143.98
463,OTHERS,2022-01-27,2161.9
464,OTHERS,2022-01-30,2251.0
465,OTHERS,2022-01-31,2288.34
466,OTHERS,2022-02-01,2289.33
467,OTHERS,2022-02-03,2280.03
468,OTHERS,2022-02-06,2248.03
469,OTHERS,2022-02-07,2302.15
470,OTHERS,2022-02-08,2300.05
471,OTHERS,2022-02-09,2296.38
472,OTHERS,2022-02-10,2313.21
473,OTHERS,2022-02-13,2239.96
474,OTHERS,2022-02-14,2240.29
475,OTHERS,2022-02-15,2315.93
476,OTHERS,2022-02-16,2326.13
477,OTHERS,2022-02-17,2331.24
478,OTHERS,2022-02-20,2340.98
479,OTHERS,2022-02-21,2370.19
480,OTHERS,2022-02-22,2417.11
481,OTHERS,2022-02-23,2368.68
482,OTHERS,2022-02-24,2308.98
483,OTHERS,2022-02-27,2324.08
484,OTHERS,2022-02-28,2288.47
485,OTHERS,2022-03-02,2238.35
486,OTHERS,2022-03-06,2246.56
487,OTHERS,2022-03-07,2282.06
488,OTHERS,2022-03-09,2244.6
489,OTHERS,2022-03-10,2253.96
490,OTHERS,2022-03-13,2340.58
491,OTHERS,2022-03-14,2348.78
492,OTHERS,2022-03-15,2308.69
493,OTHERS,2022-03-16,2251.56
494,OTHERS,2022-03-20,2219.27
495,OTHERS,2022-03-21,2177.14
496,OTHERS,2022-03-22,2205.75
497,OTHERS,2022-03-23,2183.54
498,OTHERS,2022-03-24,2148.31
499,OTHERS,2022-03-27,2065.47
500,OTHERS,2022-03-28,2016.16
501,OTHERS,2022-03-29,1996.11
502,OTHERS,2022-03-30,2078.37
503,OTHERS,2022-03-31,2052.11
504,OTHERS,2022-04-03,1987.96
505,OTHERS,2022-04-04,1967.37
506,OTHERS,2022-04-05,1895.41
507,OTHERS,2022-04-06,1901.38
508,OTHERS,2022-04-07,1969.71
509,OTHERS,2022-04-11,1878.68
510,OTHERS,2022-04-12,1830.67
511,OTHERS,2022-04-13,1872.5
512,OTHERS,2022-04-17,1838.49
513,OTHERS,2022-04-18,1785.98
514,OTHERS,2022-04-19,1805.43
515,OTHERS,2022-04-20,1750.37
516,OTHERS,2022-04-21,1786.22
517,OTHERS,2022-04-24,1874.99
518,OTHERS,2022-04-25,1832.58
519,OTHERS,2022-04-26,1821.22
520,OTHERS,2022-04-27,1832.51
521,OTHERS,2022-04-28,1805.69
522,OTHERS,2022-05-02,1744.59
523,OTHERS,2022-05-04,1720.87
524,OTHERS,2022-05-05,1702.75
525,OTHERS,2022-05-08,1738.61
526,OTHERS,2022-05-09,1744.52
527,OTHERS,2022-05-10,1779.63
528,OTHERS,2022-05-11,1816.81
529,OTHERS,2022-05-12,1824.2
530,OTHERS,2022-05-17,1714.64
531,OTHERS,2022-05-18,1727.67
532,OTHERS,2022-05-19,1709.3
533,OTHERS,2022-05-20,1680.63
534,OTHERS,2022-05-23,1670.13
535,OTHERS,2022-05-24,1681.96
536,OTHERS,2022-05-25,1690.92
537,OTHERS,2022-05-26,1673.68
538,OTHERS,2022-05-27,1646.35
539,OTHERS,2022-05-30,1599.5
540,OTHERS,2022-05-31,1572.83
541,OTHERS,2022-06-01,1569.44
542,OTHERS,2022-06-02,1545.01
543,OTHERS,2022-06-03,1532.42
544,OTHERS,2022-06-06,1526.13
545,OTHERS,2022-06-07,1502.22
546,OTHERS,2022-06-08,1560.01
547,OTHERS,2022-06-09,1532.87
548,OTHERS,2022-06-10,1507.65
549,OTHERS,2022-06-13,1506.1
550,OTHERS,2022-06-14,1454.29
551,OTHERS,2022-06-15,1453.83
552,OTHERS,2022-06-16,1490.52
553,OTHERS,2022-06-17,1482.32
554,OTHERS,2022-06-19,1428.63
555,OTHERS,2022-06-20,1376.85
556,OTHERS,2022-06-21,1416.96
557,OTHERS,2022-06-22,1379.25
558,OTHERS,2022-06-23,1346.06
559,OTHERS,2022-06-24,1358.14
560,OTHERS,2022-06-26,1454.18
561,OTHERS,2022-06-27,1416.26
562,OTHERS,2022-06-28,1402.46
563,OTHERS,2022-06-29,1445.83
564,OTHERS,2022-06-30,1538.84
565,OTHERS,2022-07-01,1530.39
566,OTHERS,2022-07-03,1603.06
567,OTHERS,2022-07-04,1573.36
568,OTHERS,2022-07-05,1513.09
569,OTHERS,2022-07-06,1531.57
570,OTHERS,2022-07-07,1512.78
571,OTHERS,2022-07-08,1484.42
572,OTHERS,2022-07-11,1414.1
573,OTHERS,2022-07-12,1423.86
574,OTHERS,2022-07-13,1476.16
575,OTHERS,2022-07-14,1489.08
576,OTHERS,2022-07-15,1464.03
577,OTHERS,2022-07-17,1457.61
578,OTHERS,2022-07-18,1487.92
579,OTHERS,2022-07-19,1491.1
580,OTHERS,2022-07-20,1500.39
581,OTHERS,2022-07-21,1530.28
582,OTHERS,2022-07-22,1497.46
583,OTHERS,2022-07-24,1601.28
584,OTHERS,2022-07-25,1615.67
585,OTHERS,2022-07-26,1558.18
586,OTHERS,2022-07-27,1597.15
587,OTHERS,2022-07-28,1593.9
588,OTHERS,2022-07-29,1617.04
589,OTHERS,2022-07-31,1669.81
590,OTHERS,2022-08-01,1658.96
591,OTHERS,2022-08-02,1641.65
592,OTHERS,2022-08-03,1621.37
593,OTHERS,2022-08-04,1582.52
594,OTHERS,2022-08-05,1573.36
595,OTHERS,2022-08-07,1595.93
596,OTHERS,2022-08-08,1557.28
597,OTHERS,2022-08-09,1498.55
598,OTHERS,2022-08-10,1493.9
599,OTHERS,2022-08-11,1463.0
600,OTHERS,2022-08-14,1446.4
601,OTHERS,2022-08-15,1537.12
602,OTHERS,2022-08-16,1526.36
603,OTHERS,2022-08-17,1522.95
604,OTHERS,2022-08-18,1558.68
605,OTHERS,2022-08-21,1532.72
606,OTHERS,2022-08-22,1522.56
607,OTHERS,2022-08-23,1523.13
608,OTHERS,2022-08-24,1516.22
609,OTHERS,2022-08-25,1482.89
610,OTHERS,2022-08-26,1476.14
611,OTHERS,2022-08-28,1468.33
612,OTHERS,2022-08-29,1475.26
613,OTHERS,2022-08-30,1509.08
614,OTHERS,2022-08-31,1493.2
615,OTHERS,2022-09-01,1464.57
616,OTHERS,2022-09-02,1471.82
617,OTHERS,2022-09-04,1458.66
618,OTHERS,2022-09-05,1443.82
619,OTHERS,2022-09-06,1425.04
620,OTHERS,2022-09-07,1417.69
621,OTHERS,2022-09-08,1398.84
622,OTHERS,2022-09-11,1402.91
623,OTHERS,2022-09-12,1379.1
624,OTHERS,2022-09-13,1394.92
625,OTHERS,2022-09-14,1435.41
626,OTHERS,2022-09-15,1378.84
627,OTHERS,2022-09-16,1374.78
628,OTHERS,2022-09-18,1340.33
629,OTHERS,2022-09-20,1327.37
630,OTHERS,2022-09-21,1329.87
631,OTHERS,2022-09-22,1316.78
632,OTHERS,2022-09-25,1294.91
633,OTHERS,2022-09-27,1303.64
634,OTHERS,2022-09-28,1300.71
635,OTHERS,2022-09-29,1303.64
636,OTHERS,2022-10-09,1335.82
637,OTHERS,2022-10-10,1317.39
638,OTHERS,2022-10-11,1301.44
639,OTHERS,2022-10-12,1311.06
640,OTHERS,2022-10-13,1313.55
641,OTHERS,2022-10-16,1302.91
642,OTHERS,2022-10-17,1307.58
643,OTHERS,2022-10-19,1293.44
644,OTHERS,2022-10-20,1292.65
645,OTHERS,2022-10-23,1304.51
646,OTHERS,2022-10-31,1325.26
647,OTHERS,2022-11-01,1397.52
648,OTHERS,2022-11-02,1417.62
649,OTHERS,2022-11-03,1400.3
650,OTHERS,2022-11-06,1457.06
651,OTHERS,2022-11-07,1457.88
652,OTHERS,2022-11-08,1472.02
653,OTHERS,2022-11-09,1437.47
654,OTHERS,2022-11-10,1403.89
655,OTHERS,2022-11-13,1402.81
656,OTHERS,2022-11-14,1435.44
657,OTHERS,2022-11-15,1429.42
658,OTHERS,2022-11-16,1439.07
659,OTHERS,2022-11-17,1461.76
660,OTHERS,2022-11-22,1444.0
661,OTHERS,2022-11-23,1432.76
662,OTHERS,2022-11-24,1457.01
663,OTHERS,2022-11-27,1478.71
664,OTHERS,2022-11-28,1461.95
665,OTHERS,2022-11-29,1468.9
666,OTHERS,2022-11-30,1459.14
667,OTHERS,2022-12-01,1463.37
668,OTHERS,2022-12-04,1474.22
669,OTHERS,2022-12-05,1445.95
670,OTHERS,2022-12-06,1454.23
671,OTHERS,2022-12-07,1444.17
672,OTHERS,2022-12-11,1423.09
673,OTHERS,2022-12-12,1510.47
674,OTHERS,2022-12-13,1496.81
675,OTHERS,2022-12-14,1492.89
676,OTHERS,2022-12-15,1475.72
677,OTHERS,2022-12-18,1443.41
678,OTHERS,2022-12-19,1471.54
679,OTHERS,2022-12-20,1505.58
680,OTHERS,2022-12-21,1484.65
681,OTHERS,2022-12-22,1514.89
682,OTHERS,2022-12-26,1480.23
683,OTHERS,2022-12-27,1517.24
684,OTHERS,2022-12-28,1511.49
685,OTHERS,2022-12-29,1553.46
686,OTHERS,2023-01-01,1578.92
687,OTHERS,2023-01-02,1551.42
688,OTHERS,2023-01-03,1524.58
689,OTHERS,2023-01-04,1580.59
690,OTHERS,2023-01-05,1566.84
691,OTHERS,2023-01-08,1582.2
692,OTHERS,2023-01-09,1615.1
693,OTHERS,2023-01-10,1575.04
694,OTHERS,2023-01-12,1552.46
695,OTHERS,2023-01-17,1593.41
696,OTHERS,2023-01-18,1590.21
697,OTHERS,2023-01-19,1576.03
698,OTHERS,2023-01-23,1552.7
699,OTHERS,2023-01-24,1591.73
700,OTHERS,2023-01-25,1576.23
701,OTHERS,2023-01-26,1562.85
702,OTHERS,2023-01-29,1536.32
703,OTHERS,2023-01-30,1503.13
704,OTHERS,2023-01-31,1494.06
705,OTHERS,2023-02-01,1504.57
706,OTHERS,2023-02-02,1494.08
707,OTHERS,2023-02-05,1491.51
708,OTHERS,2023-02-06,1494.83
709,OTHERS,2023-02-07,1538.85
710,OTHERS,2023-02-08,1546.6
711,OTHERS,2023-02-09,1550.36
712,OTHERS,2023-02-12,1513.19
713,OTHERS,2023-02-14,1503.26
714,OTHERS,2023-02-15,1488.23
715,OTHERS,2023-02-16,1487.79
716,OTHERS,2023-02-20,1465.64
717,OTHERS,2023-02-22,1493.95
718,OTHERS,2023-02-23,1463.55
719,OTHERS,2023-02-26,1466.59
720,OTHERS,2023-02-27,1478.39
721,OTHERS,2023-02-28,1467.99
722,OTHERS,2023-03-01,1448.88
723,OTHERS,2023-03-02,1428.04
724,OTHERS,2023-03-05,1400.29
725,OTHERS,2023-03-07,1410.21
726,OTHERS,2023-03-09,1441.43
727,OTHERS,2023-03-12,1432.61
728,OTHERS,2023-03-13,1418.87
729,OTHERS,2023-03-14,1425.08
730,OTHERS,2023-03-15,1419.88
731,OTHERS,2023-03-16,1421.55
732,OTHERS,2023-03-19,1416.31
733,OTHERS,2023-03-20,1446.54
734,OTHERS,2023-03-22,1439.5
735,OTHERS,2023-03-23,1424.37
736,OTHERS,2023-03-26,1420.38
737,OTHERS,2023-03-27,1433.67
738,OTHERS,2023-03-28,1441.29
739,OTHERS,2023-03-29,1450.41
740,OTHERS,2023-03-30,1434.29
741,OTHERS,2023-04-02,1423.32
